n,rho,snr,contexts,control,seeds,valid,valid_fraction,compute_matched,local_passes,control_passes,local_wins,local_losses,ties,clears_minimum_effect,max_measured_imbalance,failure_reasons,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high,jaccard_between_methods_n,jaccard_between_methods_mean,jaccard_between_methods_mcse,jaccard_between_methods_low,jaccard_between_methods_high
300,0.5,0.25,2,global,10,6,0.6,10,6,6,0,1,5,0,0.0,"{""both_failed_constraints"": 4}",6,-0.018518518518518517,0.01851851851851852,-0.06612188584511694,0.029084848808079905,10,0.0006867755032655687,0.015336437077256482,-0.03400665548285415,0.03538020648938529,10,-0.033333333333333326,0.07777777777777779,-0.2092788904398604,0.14261222377319374,10,0.8527777777777776,0.05038432540893627,0.7388005151611968,0.9667550403943584
300,0.5,0.25,2,loco-matched,10,5,0.5,10,6,6,1,1,3,1,0.018421052631578946,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",5,-1.1102230246251566e-17,0.07027283689263063,-0.19510867401890722,0.19510867401890722,10,-0.02255888699516211,0.03658883322034417,-0.10532857814299257,0.06021080415266836,10,0.03333333333333335,0.07777777777777777,-0.14261222377319366,0.20927889043986037,10,0.6833333333333333,0.0683180249840619,0.5287872237674109,0.8378794428992558
300,0.5,0.25,4,global,10,4,0.4,10,4,5,0,2,2,0,0.0,"{""both_failed_constraints"": 5, ""candidate_failed_constraints"": 1}",4,-0.05555555555555554,0.0320750149549792,-0.15763256839094875,0.04652145727983768,10,0.0030100186075917358,0.022410277097754425,-0.047685550249386005,0.05370558746456948,10,-0.16666666666666669,0.10243938285880988,-0.3984006503533511,0.06506731702001772,10,0.8633333333333333,0.05898199022979611,0.7299068016589063,0.9967598650077603
300,0.5,0.25,4,loco-matched,10,4,0.4,10,4,7,0,0,4,0,0.030831099195710455,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 3}",4,0.0,0.0,0.0,0.0,10,-0.013888682207356595,0.040509370858905866,-0.10552724565627937,0.07774988124156619,10,-0.4,0.18459164139817943,-0.8175753037815693,0.01757530378156924,10,0.4733333333333333,0.09465046519914345,0.25921910552090865,0.6874475611457579
300,0.5,2.0,2,global,10,1,0.1,10,2,3,0,0,1,0,0.0,"{""both_failed_constraints"": 6, ""candidate_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",1,0.0,,,,10,0.029314978555775084,0.01844807739855657,-0.012417471871225334,0.0710474289827755,10,-0.19999999999999996,0.24944382578492935,-0.7642811372151654,0.36428113721516553,10,0.8427777777777777,0.04860925922398454,0.7328159938459264,0.952739561709629
300,0.5,2.0,2,loco-matched,10,1,0.1,10,2,7,0,0,1,0,0.018421052631578946,"{""both_failed_constraints"": 2, ""candidate_failed_constraints"": 6, ""comparator_failed_constraints"": 1}",1,0.0,,,,10,0.0786833839594262,0.02127432202265905,0.030557524012192437,0.12680924390665996,10,-1.0333333333333332,0.31603250340728645,-1.7482485245931745,-0.31841814207349206,10,0.5595238095238095,0.05451918194410502,0.4361928515790538,0.6828547674685652
300,0.5,2.0,4,global,10,3,0.3,10,4,5,1,0,2,1,0.0,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",3,0.07407407407407407,0.07407407407407407,-0.24464094294440458,0.3927890910925527,10,0.005537178645169738,0.01104542646150818,-0.019449311940891823,0.030523669231231298,10,-0.2666666666666667,0.23200681130912332,-0.7915025366875716,0.2581692033542382,10,0.8744444444444444,0.032806536870783026,0.8002309020755991,0.9486579868132896
300,0.5,2.0,4,loco-matched,10,3,0.3,10,4,6,1,0,2,1,0.030831099195710455,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 3, ""comparator_failed_constraints"": 1}",3,0.07407407407407407,0.07407407407407407,-0.24464094294440458,0.3927890910925527,10,0.03317493587440534,0.01653824040932691,-0.00423716312763224,0.07058703487644293,10,-0.5666666666666667,0.1927705730321941,-1.002743999228159,-0.13058933410517426,10,0.6555555555555556,0.03370166864022912,0.5793170844428096,0.7317940266683015
300,0.9,0.25,2,global,10,8,0.8,10,9,8,1,0,7,1,0.0,"{""both_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",8,0.013888888888888888,0.013888888888888886,-0.018953114605455325,0.0467308923832331,10,-0.003595300132004553,0.012113966740685404,-0.03099899676434526,0.023808396500336157,10,-0.09999999999999995,0.2333333333333333,-0.6278366713195811,0.42783667131958114,10,0.8011111111111111,0.06860255107295515,0.645921358815196,0.9563008634070262
300,0.9,0.25,2,loco-matched,10,1,0.1,10,9,1,0,0,1,0,0.018421052631578946,"{""both_failed_constraints"": 1, ""comparator_failed_constraints"": 8}",1,0.0,,,,10,-0.3398828156044164,0.04818393834405691,-0.44888245686125183,-0.230883174347581,10,-0.36666666666666664,0.3081205471969344,-1.0636837695135142,0.33035043618018084,10,0.29095238095238096,0.058492440394211156,0.15863328794506915,0.4232714739596928
