n,snr,policy,method,runs,valid,mean_excess_loss,mean_size,mean_recall
300,0.25,fixed_top5,gated,40,20,0.07699600050274549,5.0,0.825
300,0.25,fixed_top5,ungated,40,16,0.10948193673221551,5.0,0.8111111111111111
300,0.25,fixed_top6,gated,40,18,0.05962975953453511,6.0,0.875
300,0.25,fixed_top6,ungated,40,16,0.107509701024736,6.0,0.836111111111111
300,0.25,inner_argmin,gated,40,16,0.13843949499388114,4.325,0.7333333333333332
300,0.25,inner_argmin,ungated,40,15,0.2484912676544626,3.983333333333333,0.6916666666666667
300,0.25,original_one_se,gated,40,3,0.521997692485819,2.3916666666666666,0.5083333333333332
300,0.25,original_one_se,ungated,40,3,0.5846660375945737,1.925,0.43611111111111106
300,2.0,fixed_top5,gated,40,24,0.034714355306458985,5.0,0.9777777777777779
300,2.0,fixed_top5,ungated,40,24,0.029022843401896488,5.0,0.9777777777777779
300,2.0,fixed_top6,gated,40,32,-0.002884327859849811,6.0,0.9916666666666668
300,2.0,fixed_top6,ungated,40,29,-0.00921036049798859,6.0,0.9944444444444445
300,2.0,inner_argmin,gated,40,27,0.04271324495256264,5.574999999999999,0.9638888888888889
300,2.0,inner_argmin,ungated,40,21,0.04891222493660454,5.541666666666666,0.9583333333333333
300,2.0,original_one_se,gated,40,15,0.15274929253876085,4.691666666666666,0.888888888888889
300,2.0,original_one_se,ungated,40,12,0.17573071631747275,4.758333333333333,0.8722222222222221
1000,0.25,fixed_top5,gated,40,34,-0.09690647225473019,5.0,0.9888888888888889
1000,0.25,fixed_top5,ungated,40,35,-0.11075352439640543,5.0,0.9944444444444445
1000,0.25,fixed_top6,gated,40,39,-0.11140912570350099,6.0,1.0
1000,0.25,fixed_top6,ungated,40,38,-0.11494983500650968,6.0,1.0
1000,0.25,inner_argmin,gated,40,24,-0.0033009802540278077,4.8999999999999995,0.9472222222222222
1000,0.25,inner_argmin,ungated,40,23,0.00434809898940971,4.8583333333333325,0.9166666666666664
1000,0.25,original_one_se,gated,40,6,0.2772626893768969,3.325,0.7444444444444442
1000,0.25,original_one_se,ungated,40,7,0.2657519951695047,3.266666666666667,0.7305555555555555
1000,2.0,fixed_top5,gated,40,24,0.042208208725532735,5.0,1.0
1000,2.0,fixed_top5,ungated,40,24,0.031907726875955035,5.0,1.0
1000,2.0,fixed_top6,gated,40,40,-0.02114648041309459,6.0,1.0
1000,2.0,fixed_top6,ungated,40,39,-0.024048438581504593,6.0,1.0
1000,2.0,inner_argmin,gated,40,38,-0.013756860790399445,5.933333333333333,1.0
1000,2.0,inner_argmin,ungated,40,34,-0.003963571475629446,5.883333333333333,0.9916666666666668
1000,2.0,original_one_se,gated,40,30,0.025815938002597467,5.383333333333333,0.9833333333333332
1000,2.0,original_one_se,ungated,40,28,0.028236388965310888,5.666666666666666,0.9722222222222223
3000,0.25,fixed_top5,gated,40,32,0.007974043748106795,5.0,1.0
3000,0.25,fixed_top5,ungated,40,31,0.017183099146563262,5.0,0.9888888888888889
3000,0.25,fixed_top6,gated,40,37,-0.026623957556900724,6.0,1.0
3000,0.25,fixed_top6,ungated,40,32,-0.014484110104688508,6.0,0.9888888888888889
3000,0.25,inner_argmin,gated,40,34,-0.0093069565167339,5.741666666666666,0.9916666666666668
3000,0.25,inner_argmin,ungated,40,27,0.019143633167987062,5.716666666666667,0.975
3000,0.25,original_one_se,gated,40,10,0.15135791433037604,4.491666666666666,0.9
3000,0.25,original_one_se,ungated,40,11,0.14536371327591077,4.65,0.8944444444444445
3000,2.0,fixed_top5,gated,40,20,0.048466172830117074,5.0,1.0
3000,2.0,fixed_top5,ungated,40,23,0.044380577817839786,5.0,1.0
3000,2.0,fixed_top6,gated,40,40,-0.007349910620361155,6.0,1.0
3000,2.0,fixed_top6,ungated,40,40,-0.00856347285770046,6.0,1.0
3000,2.0,inner_argmin,gated,40,40,-0.007349910620361155,6.0,1.0
3000,2.0,inner_argmin,ungated,40,40,-0.00856347285770046,6.0,1.0
3000,2.0,original_one_se,gated,40,39,-0.000760805952860305,5.85,0.9972222222222221
3000,2.0,original_one_se,ungated,40,40,-0.007698345152558722,5.95,1.0
