dataset,rows,seed,contexts,control,complete,measured_primary_imbalance,primary_compute_matched,loss_difference,size_difference
superconductivity,3000,501,1,ungated-T1,True,0.010330057949105569,True,0.0,0.0
superconductivity,3000,501,1,all,True,0.010330057949105569,True,0.0,0.0
superconductivity,3000,501,1,l1,True,0.010330057949105569,True,0.38053611175331525,5.0
superconductivity,3000,501,2,ungated-T2,True,0.010711553175210406,True,0.0,0.0
superconductivity,3000,501,2,all,True,0.010711553175210406,True,0.0,0.0
superconductivity,3000,501,2,l1,True,0.010711553175210406,True,0.38053611175331525,5.0
superconductivity,3000,502,1,ungated-T1,True,0.009826152683295541,True,0.0,0.0
superconductivity,3000,502,1,all,True,0.009826152683295541,True,0.0,0.0
superconductivity,3000,502,1,l1,True,0.009826152683295541,True,-0.33327550341317647,5.666666666666671
superconductivity,3000,502,2,ungated-T2,True,0.010707456978967494,True,0.0,0.0
superconductivity,3000,502,2,all,True,0.010707456978967494,True,0.0,0.0
superconductivity,3000,502,2,l1,True,0.010707456978967494,True,-0.33327550341317647,5.666666666666671
superconductivity,3000,503,1,ungated-T1,True,0.009322247417485512,True,0.0,0.0
superconductivity,3000,503,1,all,True,0.009322247417485512,True,0.0,0.0
superconductivity,3000,503,1,l1,True,0.009322247417485512,True,-0.2736659616276711,6.0
superconductivity,3000,503,2,ungated-T2,True,0.010452517527087316,True,0.0,0.0
superconductivity,3000,503,2,all,True,0.010452517527087316,True,0.0,0.0
superconductivity,3000,503,2,l1,True,0.010452517527087316,True,-0.2736659616276711,6.0
superconductivity,3000,504,1,ungated-T1,True,0.009574200050390527,True,0.0,0.0
superconductivity,3000,504,1,all,True,0.009574200050390527,True,0.0,0.0
superconductivity,3000,504,1,l1,True,0.009574200050390527,True,-0.6977121568137932,3.3333333333333286
superconductivity,3000,504,2,ungated-T2,True,0.010452517527087316,True,0.0,0.0
superconductivity,3000,504,2,all,True,0.010452517527087316,True,0.0,0.0
superconductivity,3000,504,2,l1,True,0.010452517527087316,True,-0.6977121568137932,3.3333333333333286
superconductivity,3000,505,1,ungated-T1,True,0.009322247417485512,True,0.0,0.0
superconductivity,3000,505,1,all,True,0.009322247417485512,True,0.0,0.0
