dataset,rows,seed,contexts,complete,one_se_gated_minus_ungated,argmin_gated_minus_ungated,gating_effect_change
superconductivity,3000,501,1,True,0.0,0.0,0.0
superconductivity,3000,501,2,True,0.0,0.0,0.0
superconductivity,3000,502,1,True,0.0,0.0,0.0
superconductivity,3000,502,2,True,0.0,0.0,0.0
superconductivity,3000,503,1,True,0.0,0.0,0.0
superconductivity,3000,503,2,True,0.0,0.0,0.0
superconductivity,3000,504,1,True,0.0,0.0,0.0
superconductivity,3000,504,2,True,0.0,0.0,0.0
superconductivity,3000,505,1,True,0.0,0.0,0.0
superconductivity,3000,505,2,True,0.0,0.0,0.0
superconductivity,5000,501,1,True,0.0,0.0,0.0
superconductivity,5000,501,2,True,0.0,0.0,0.0
superconductivity,5000,502,1,True,0.0,0.0,0.0
superconductivity,5000,502,2,True,0.0,0.0,0.0
superconductivity,5000,503,1,True,0.0,0.0,0.0
superconductivity,5000,503,2,True,0.0,0.0,0.0
superconductivity,5000,504,1,True,0.0,0.0,0.0
superconductivity,5000,504,2,True,0.0,0.0,0.0
superconductivity,5000,505,1,True,0.0,0.0,0.0
superconductivity,5000,505,2,True,0.0,0.0,0.0
miniboone,3000,501,1,True,0.011682351424357446,-0.007730927889734673,-0.01941327931409212
miniboone,3000,501,2,True,0.003011941046725808,-0.0015850895341882332,-0.004597030580914041
miniboone,3000,502,1,True,0.0045948926545857915,0.0006690017778085977,-0.003925890876777194
miniboone,3000,502,2,True,0.008199355853562629,-0.0010726902064256416,-0.00927204605998827
miniboone,3000,503,1,True,0.006165722180106997,0.0026911797975541496,-0.0034745423825528476
miniboone,3000,503,2,True,0.001266073406619106,0.0,-0.001266073406619106
miniboone,3000,504,1,True,-0.003581394442254443,-0.0009192543068066716,0.0026621401354477714
miniboone,3000,504,2,True,0.006178690506249834,0.0002521800861064738,-0.0059265104201433605
miniboone,3000,505,1,True,-0.0033465854280089746,-0.0006245075441293491,0.0027220778838796256
miniboone,3000,505,2,True,-0.000545758643296923,0.00512182293214436,0.005667581575441283
miniboone,5000,501,1,True,-0.0018256701660774866,0.0,0.0018256701660774866
miniboone,5000,501,2,True,-0.00142736781549746,0.0,0.00142736781549746
miniboone,5000,502,1,True,-0.003151418229578151,0.005106563806899195,0.008257982036477346
miniboone,5000,502,2,True,0.0012850517756801128,-0.006197965087371443,-0.007483016863051556
miniboone,5000,503,1,True,0.0015239966018522066,0.0,-0.0015239966018522066
miniboone,5000,503,2,True,-0.0026732197097457666,0.0,0.0026732197097457666
miniboone,5000,504,1,True,0.003446068531938018,0.0,-0.003446068531938018
miniboone,5000,504,2,True,0.0019974149091785964,-0.0005522828371625488,-0.002549697746341145
miniboone,5000,505,1,True,-0.010189717549550115,0.0007024090809086003,0.010892126630458715
miniboone,5000,505,2,True,0.0006858787862195903,0.0,-0.0006858787862195903
yearpredictionmsd,3000,501,1,True,3.3678269571788917,2.9025992828709946,-0.46522767430789713
yearpredictionmsd,3000,501,2,True,4.171159955922306,1.527020759571542,-2.644139196350764
yearpredictionmsd,3000,502,1,True,-0.43191973004081774,0.5702831950633112,1.002202925104129
yearpredictionmsd,3000,502,2,True,0.054869584277710715,0.6189603812680247,0.564090796990314
yearpredictionmsd,3000,503,1,True,4.01667781604597,1.6422618612665048,-2.374415954779465
yearpredictionmsd,3000,503,2,True,-0.568669865076231,0.13391586913412823,0.7025857342103592
yearpredictionmsd,3000,504,1,True,-0.7121642007837892,-0.1441776307259488,0.5679865700578404
yearpredictionmsd,3000,504,2,True,-0.16886319562449614,0.29852685577924376,0.4673900514037399
yearpredictionmsd,3000,505,1,True,3.4130048761308274,2.308134400045404,-1.1048704760854235
yearpredictionmsd,3000,505,2,True,2.4111729475920924,2.5829804492480832,0.1718075016559908
yearpredictionmsd,5000,501,1,True,-3.167860476588203,0.0,3.167860476588203
yearpredictionmsd,5000,501,2,True,1.1707396351270347,0.0,-1.1707396351270347
yearpredictionmsd,5000,502,1,True,-1.0608950384520313,0.0,1.0608950384520313
yearpredictionmsd,5000,502,2,True,2.942695263440072,0.0,-2.942695263440072
yearpredictionmsd,5000,503,1,True,-0.05572321492579135,-0.8185573864279263,-0.762834171502135
yearpredictionmsd,5000,503,2,True,0.6079349416345252,-0.6718322590758703,-1.2797672007103955
yearpredictionmsd,5000,504,1,True,-0.8533394099200251,0.0,0.8533394099200251
yearpredictionmsd,5000,504,2,True,-0.19278075034040398,-0.14807874160597123,0.04470200873443275
yearpredictionmsd,5000,505,1,True,-1.3433278841027914,0.16711962451854845,1.5104475086213398
yearpredictionmsd,5000,505,2,True,-1.1790852699647303,1.2584642614881432,2.4375495314528735
