dataset,rows,seed,method,fold,one_se_size,argmin_size,argmin,one_se,loss_difference
superconductivity,3000,501,gated-T1,0,81,81,329.42410698819305,329.42410698819305,0.0
superconductivity,3000,501,gated-T1,1,81,81,295.0059563799555,295.0059563799555,0.0
superconductivity,3000,501,gated-T1,2,81,81,317.2035623943708,317.2035623943708,0.0
superconductivity,3000,501,gated-T2,0,81,81,329.42410698819305,329.42410698819305,0.0
superconductivity,3000,501,gated-T2,1,81,81,295.0059563799555,295.0059563799555,0.0
superconductivity,3000,501,gated-T2,2,81,81,317.2035623943708,317.2035623943708,0.0
superconductivity,3000,501,ungated-T1,0,81,81,329.42410698819305,329.42410698819305,0.0
superconductivity,3000,501,ungated-T1,1,81,81,295.0059563799555,295.0059563799555,0.0
superconductivity,3000,501,ungated-T1,2,81,81,317.2035623943708,317.2035623943708,0.0
superconductivity,3000,501,ungated-T2,0,81,81,329.42410698819305,329.42410698819305,0.0
superconductivity,3000,501,ungated-T2,1,81,81,295.0059563799555,295.0059563799555,0.0
superconductivity,3000,501,ungated-T2,2,81,81,317.2035623943708,317.2035623943708,0.0
superconductivity,3000,502,gated-T1,0,81,81,359.76419809950164,359.76419809950164,0.0
superconductivity,3000,502,gated-T1,1,81,81,316.26819111735915,316.26819111735915,0.0
superconductivity,3000,502,gated-T1,2,81,81,317.899800944213,317.899800944213,0.0
superconductivity,3000,502,gated-T2,0,81,81,359.76419809950164,359.76419809950164,0.0
superconductivity,3000,502,gated-T2,1,81,81,316.26819111735915,316.26819111735915,0.0
superconductivity,3000,502,gated-T2,2,81,81,317.899800944213,317.899800944213,0.0
superconductivity,3000,502,ungated-T1,0,81,81,359.76419809950164,359.76419809950164,0.0
superconductivity,3000,502,ungated-T1,1,81,81,316.26819111735915,316.26819111735915,0.0
superconductivity,3000,502,ungated-T1,2,81,81,317.899800944213,317.899800944213,0.0
superconductivity,3000,502,ungated-T2,0,81,81,359.76419809950164,359.76419809950164,0.0
superconductivity,3000,502,ungated-T2,1,81,81,316.26819111735915,316.26819111735915,0.0
superconductivity,3000,502,ungated-T2,2,81,81,317.899800944213,317.899800944213,0.0
superconductivity,3000,503,gated-T1,0,81,81,336.4436007755327,336.4436007755327,0.0
superconductivity,3000,503,gated-T1,1,81,81,311.2690744516493,311.2690744516493,0.0
superconductivity,3000,503,gated-T1,2,81,81,329.18581773584873,329.18581773584873,0.0
superconductivity,3000,503,gated-T2,0,81,81,336.4436007755327,336.4436007755327,0.0
superconductivity,3000,503,gated-T2,1,81,81,311.2690744516493,311.2690744516493,0.0
superconductivity,3000,503,gated-T2,2,81,81,329.18581773584873,329.18581773584873,0.0
superconductivity,3000,503,ungated-T1,0,81,81,336.4436007755327,336.4436007755327,0.0
superconductivity,3000,503,ungated-T1,1,81,81,311.2690744516493,311.2690744516493,0.0
superconductivity,3000,503,ungated-T1,2,81,81,329.18581773584873,329.18581773584873,0.0
superconductivity,3000,503,ungated-T2,0,81,81,336.4436007755327,336.4436007755327,0.0
superconductivity,3000,503,ungated-T2,1,81,81,311.2690744516493,311.2690744516493,0.0
superconductivity,3000,503,ungated-T2,2,81,81,329.18581773584873,329.18581773584873,0.0
superconductivity,3000,504,gated-T1,0,81,81,319.736775535962,319.736775535962,0.0
superconductivity,3000,504,gated-T1,1,81,81,338.57745290385253,338.57745290385253,0.0
superconductivity,3000,504,gated-T1,2,81,81,320.4961399756406,320.4961399756406,0.0
superconductivity,3000,504,gated-T2,0,81,81,319.736775535962,319.736775535962,0.0
superconductivity,3000,504,gated-T2,1,81,81,338.57745290385253,338.57745290385253,0.0
superconductivity,3000,504,gated-T2,2,81,81,320.4961399756406,320.4961399756406,0.0
superconductivity,3000,504,ungated-T1,0,81,81,319.736775535962,319.736775535962,0.0
superconductivity,3000,504,ungated-T1,1,81,81,338.57745290385253,338.57745290385253,0.0
superconductivity,3000,504,ungated-T1,2,81,81,320.4961399756406,320.4961399756406,0.0
superconductivity,3000,504,ungated-T2,0,81,81,319.736775535962,319.736775535962,0.0
