dataset,rows,seed,method,status,new_model_fits,original_method_fits,elapsed_seconds,peak_memory_gib,all_loss,l1_loss,error,one_se_loss,argmin_loss,one_se_size,argmin_size,one_se_jaccard,argmin_jaccard,loss_difference,size_difference,jaccard_difference,changed_folds,one_se_minus_all,one_se_minus_l1,argmin_minus_all,argmin_minus_l1
superconductivity,3000,501,gated-T1,complete,6,3969,0.093191709369421,0.2182769775390625,313.8778752541731,313.4973391424198,,313.8778752541731,313.8778752541731,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.38053611175331525,0.0,0.38053611175331525
superconductivity,3000,501,gated-T2,complete,6,7842,0.08318575005978346,0.219024658203125,313.8778752541731,313.4973391424198,,313.8778752541731,313.8778752541731,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.38053611175331525,0.0,0.38053611175331525
superconductivity,3000,501,ungated-T1,complete,6,3928,0.08220024965703487,0.2182769775390625,313.8778752541731,313.4973391424198,,313.8778752541731,313.8778752541731,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.38053611175331525,0.0,0.38053611175331525
superconductivity,3000,501,ungated-T2,complete,6,7758,0.08872825000435114,0.2246246337890625,313.8778752541731,313.4973391424198,,313.8778752541731,313.8778752541731,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.38053611175331525,0.0,0.38053611175331525
superconductivity,3000,502,gated-T1,complete,6,3969,0.0860090833157301,0.2194671630859375,331.31073005369126,331.64400555710444,,331.31073005369126,331.31073005369126,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.33327550341317647,0.0,-0.33327550341317647
superconductivity,3000,502,gated-T2,complete,6,7845,0.08542879205197096,0.2234344482421875,331.31073005369126,331.64400555710444,,331.31073005369126,331.31073005369126,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.33327550341317647,0.0,-0.33327550341317647
superconductivity,3000,502,ungated-T1,complete,6,3930,0.08896691631525755,0.2194671630859375,331.31073005369126,331.64400555710444,,331.31073005369126,331.31073005369126,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.33327550341317647,0.0,-0.33327550341317647
superconductivity,3000,502,ungated-T2,complete,6,7761,0.08386445976793766,0.2234649658203125,331.31073005369126,331.64400555710444,,331.31073005369126,331.31073005369126,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.33327550341317647,0.0,-0.33327550341317647
superconductivity,3000,503,gated-T1,complete,6,3969,0.08695587422698736,0.2188873291015625,325.6328309876769,325.9064969493046,,325.6328309876769,325.6328309876769,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.2736659616276711,0.0,-0.2736659616276711
superconductivity,3000,503,gated-T2,complete,6,7845,0.25550741609185934,0.2193450927734375,325.6328309876769,325.9064969493046,,325.6328309876769,325.6328309876769,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.2736659616276711,0.0,-0.2736659616276711
superconductivity,3000,503,ungated-T1,complete,6,3932,0.2580114584416151,0.219268798828125,325.6328309876769,325.9064969493046,,325.6328309876769,325.6328309876769,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.2736659616276711,0.0,-0.2736659616276711
superconductivity,3000,503,ungated-T2,complete,6,7763,0.08731458242982626,0.2242431640625,325.6328309876769,325.9064969493046,,325.6328309876769,325.6328309876769,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.2736659616276711,0.0,-0.2736659616276711
superconductivity,3000,504,gated-T1,complete,6,3969,0.0923263756558299,0.2165069580078125,326.2701228051517,326.9678349619655,,326.2701228051517,326.2701228051517,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.6977121568137932,0.0,-0.6977121568137932
superconductivity,3000,504,gated-T2,complete,6,7845,0.08661470841616392,0.217010498046875,326.2701228051517,326.9678349619655,,326.2701228051517,326.2701228051517,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.6977121568137932,0.0,-0.6977121568137932
superconductivity,3000,504,ungated-T1,complete,6,3931,0.08904237486422062,0.2165069580078125,326.2701228051517,326.9678349619655,,326.2701228051517,326.2701228051517,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.6977121568137932,0.0,-0.6977121568137932
superconductivity,3000,504,ungated-T2,complete,6,7763,0.08330087456852198,0.222076416015625,326.2701228051517,326.9678349619655,,326.2701228051517,326.2701228051517,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.6977121568137932,0.0,-0.6977121568137932
superconductivity,3000,505,gated-T1,complete,6,3969,0.08435104135423899,0.21502685546875,319.8724129266238,320.220533807987,,319.8724129266238,319.8724129266238,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.3481208813632293,0.0,-0.3481208813632293
superconductivity,3000,505,gated-T2,complete,6,7845,0.08355108369141817,0.21502685546875,319.8724129266238,320.220533807987,,319.8724129266238,319.8724129266238,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.3481208813632293,0.0,-0.3481208813632293
superconductivity,3000,505,ungated-T1,complete,6,3932,0.08235816564410925,0.21502685546875,319.8724129266238,320.220533807987,,319.8724129266238,319.8724129266238,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.3481208813632293,0.0,-0.3481208813632293
superconductivity,3000,505,ungated-T2,complete,6,7767,0.08709387481212616,0.21502685546875,319.8724129266238,320.220533807987,,319.8724129266238,319.8724129266238,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.3481208813632293,0.0,-0.3481208813632293
superconductivity,5000,501,gated-T1,complete,6,3969,0.1455210829153657,0.2432403564453125,316.03459800679326,316.18947234045936,,316.03459800679326,316.03459800679326,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.15487433366610048,0.0,-0.15487433366610048
superconductivity,5000,501,gated-T2,complete,6,7842,0.15731483325362206,0.2678070068359375,316.03459800679326,316.18947234045936,,316.03459800679326,316.03459800679326,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.15487433366610048,0.0,-0.15487433366610048
superconductivity,5000,501,ungated-T1,complete,6,3928,0.14475412480533123,0.2597198486328125,316.03459800679326,316.18947234045936,,316.03459800679326,316.03459800679326,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.15487433366610048,0.0,-0.15487433366610048
superconductivity,5000,501,ungated-T2,complete,6,7758,0.14819545857608318,0.271881103515625,316.03459800679326,316.18947234045936,,316.03459800679326,316.03459800679326,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.15487433366610048,0.0,-0.15487433366610048
superconductivity,5000,502,gated-T1,complete,6,3969,0.14317570813000202,0.219207763671875,322.8738067707549,322.7250015216161,,322.8738067707549,322.8738067707549,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.14880524913883164,0.0,0.14880524913883164
superconductivity,5000,502,gated-T2,complete,6,7845,0.1386597091332078,0.2344970703125,322.8738067707549,322.7250015216161,,322.8738067707549,322.8738067707549,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.14880524913883164,0.0,0.14880524913883164
superconductivity,5000,502,ungated-T1,complete,6,3930,0.14932229183614254,0.2239532470703125,322.8738067707549,322.7250015216161,,322.8738067707549,322.8738067707549,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.14880524913883164,0.0,0.14880524913883164
superconductivity,5000,502,ungated-T2,complete,6,7761,0.1434262916445732,0.2399139404296875,322.8738067707549,322.7250015216161,,322.8738067707549,322.8738067707549,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.14880524913883164,0.0,0.14880524913883164
superconductivity,5000,503,gated-T1,complete,6,3969,0.1459994576871395,0.234283447265625,320.41955268609894,320.5505108529505,,320.41955268609894,320.41955268609894,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.13095816685154205,0.0,-0.13095816685154205
superconductivity,5000,503,gated-T2,complete,6,7845,0.1398689579218626,0.2505340576171875,320.41955268609894,320.5505108529505,,320.41955268609894,320.41955268609894,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.13095816685154205,0.0,-0.13095816685154205
superconductivity,5000,503,ungated-T1,complete,6,3932,0.14235095959156752,0.2484893798828125,320.41955268609894,320.5505108529505,,320.41955268609894,320.41955268609894,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.13095816685154205,0.0,-0.13095816685154205
superconductivity,5000,503,ungated-T2,complete,6,7763,0.14413729216903448,0.2566375732421875,320.41955268609894,320.5505108529505,,320.41955268609894,320.41955268609894,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.13095816685154205,0.0,-0.13095816685154205
superconductivity,5000,504,gated-T1,complete,6,3969,0.14125491678714752,0.2216644287109375,320.05227614735094,320.07220995482135,,320.05227614735094,320.05227614735094,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.019933807470408738,0.0,-0.019933807470408738
superconductivity,5000,504,gated-T2,complete,6,7845,0.14385475032031536,0.23309326171875,320.05227614735094,320.07220995482135,,320.05227614735094,320.05227614735094,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.019933807470408738,0.0,-0.019933807470408738
