n,rho,snr,contexts,seeds,valid,invalid,valid_fraction,compute_matched,valid_clearing_effect,failure_reasons,gated_constraint_passes,gated_loss_failures,gated_size_failures,ungated_constraint_passes,ungated_loss_failures,ungated_size_failures,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,diagnostic_raw_recall_difference_n,diagnostic_raw_recall_difference_mean,diagnostic_raw_recall_difference_mcse,diagnostic_raw_recall_difference_low,diagnostic_raw_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high
300,0.5,0.25,2,10,6,4,0.6,10,0,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 1}",6,4,0,7,3,0,6,0.0,0.0,0.0,0.0,10,0.0,0.01656346649999844,-0.03746916438373959,0.03746916438373959,10,0.044044977674122784,0.031926503612968275,-0.028177791157056167,0.11626774650530174,10,0.0,0.08606629658238706,-0.19469548928936153,0.19469548928936153
300,0.5,0.25,4,10,7,3,0.7,10,0,"{""both_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",8,2,0,7,3,0,7,0.0,0.0,0.0,0.0,10,-0.01111111111111111,0.011111111111111108,-0.03624619069775782,0.014023968475535605,10,-0.00806152188962006,0.0231294452327946,-0.060383962094535164,0.04426091831529504,10,-0.09999999999999998,0.050917507721731536,-0.2151834048045479,0.015183404804547926
300,0.5,2.0,2,10,4,6,0.4,10,0,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",5,5,0,5,5,0,4,-0.05555555555555554,0.055555555555555546,-0.23235812807131706,0.12124701696020597,10,5.551115123125783e-18,0.033126932999996875,-0.07493832876747916,0.07493832876747916,10,0.01862450577177417,0.024946968083453314,-0.03780945676830795,0.0750584683118563,10,4.4408920985006264e-17,0.27666443551086073,-0.6258584344824156,0.6258584344824156
300,0.5,2.0,4,10,4,6,0.4,10,1,"{""both_failed_constraints"": 2, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 3}",7,3,0,5,5,0,4,-0.027777777777777762,0.06990587440065507,-0.2502494694817694,0.1946939139262139,10,0.011111111111111122,0.030765273566363233,-0.05848477285248375,0.080706995074706,10,-0.023621478941773365,0.018775385979749832,-0.06609435282016544,0.01885139493661871,10,0.06666666666666674,0.19116278371205833,-0.36577359376801,0.4991069271013435
300,0.9,0.25,2,10,7,3,0.7,10,0,"{""both_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",8,2,0,7,3,0,7,0.0,0.0,0.0,0.0,10,0.01111111111111111,0.0199450548412389,-0.034007737560400486,0.0562299597826227,10,-0.05639906177787166,0.04393829258354293,-0.15579438506685656,0.04299626151111322,10,-0.1,0.08678055195451836,-0.2963112471954955,0.09631124719549547
300,0.9,0.25,4,10,7,3,0.7,10,0,"{""both_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",8,2,0,7,3,0,7,0.0,0.0,0.0,0.0,10,0.01111111111111111,0.011111111111111112,-0.014023968475535612,0.036246190697757835,10,-0.05095106565040295,0.03729498881319807,-0.1353181917306579,0.03341606042985199,10,0.0,0.1111111111111111,-0.2513507958664672,0.2513507958664672
300,0.9,2.0,2,10,2,8,0.2,10,0,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 4}",2,8,0,6,4,0,2,0.0,0.0,0.0,0.0,10,0.03333333333333333,0.043979044766807085,-0.06615417779892221,0.1328208444655889,10,0.024690937261414823,0.009317401717079104,0.0036135102284560357,0.045768364294373615,10,0.09999999999999998,0.3444444444444444,-0.6791874671860483,0.8791874671860482
300,0.9,2.0,4,10,2,8,0.2,10,1,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 4}",2,8,0,6,4,0,2,-0.055555555555555525,0.1666666666666666,-2.1732563449180033,2.0621452338068926,10,-0.044444444444444446,0.060178062256562664,-0.180576679021444,0.0916877901325551,10,0.023761062629565188,0.011002861483594546,-0.0011291392868246972,0.04865126454595507,10,-0.23333333333333323,0.30245905752924884,-0.9175432567763178,0.45087659010965137
1000,0.5,0.25,2,10,1,9,0.1,10,1,"{""both_failed_constraints"": 5, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 3}",4,6,0,2,8,0,1,0.22222222222222215,,,,10,0.04444444444444444,0.037770514915502096,-0.040998396414235055,0.12988728530312393,10,-0.009767624576075652,0.02417303932166228,-0.06445083862417664,0.04491558947202534,10,0.3,0.18888888888888888,-0.12729635297299424,0.7272963529729942
1000,0.5,0.25,4,10,3,7,0.3,10,0,"{""both_failed_constraints"": 7}",3,7,0,3,7,0,3,-0.037037037037037014,0.03703703703703702,-0.19639454554627628,0.12232047147220226,10,-0.0111111111111111,0.030765273566363233,-0.08070699507470597,0.05848477285248377,10,0.001306025862088145,0.01307312810116028,-0.028267444512130077,0.03087949623630637,10,0.03333333333333337,0.28306087117459994,-0.6069948439021878,0.6736615105688545
1000,0.5,2.0,2,10,7,3,0.7,10,5,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",8,2,0,8,2,0,7,0.11111111111111109,0.034289633324909315,0.027207400956974673,0.1950148212652475,10,0.07777777777777775,0.03333333333333333,0.0023725390178375855,0.15318301653771793,10,-0.006742331058175221,0.004982527718759239,-0.018013591826007033,0.0045289297096565906,10,0.36666666666666664,0.15275252316519466,0.021116452253022833,0.7122168810803104
