n,rho,snr,contexts,seeds,valid,invalid,valid_fraction,compute_matched,valid_clearing_effect,failure_reasons,gated_constraint_passes,gated_loss_failures,gated_size_failures,ungated_constraint_passes,ungated_loss_failures,ungated_size_failures,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,diagnostic_raw_recall_difference_n,diagnostic_raw_recall_difference_mean,diagnostic_raw_recall_difference_mcse,diagnostic_raw_recall_difference_low,diagnostic_raw_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high
300,0.5,0.25,2,10,6,4,0.6,10,1,"{""both_failed_constraints"": 4}",6,4,0,6,4,0,6,-0.018518518518518517,0.03414646095293661,-0.10629479079540205,0.06925775375836501,10,-0.011111111111111122,0.025925925925925918,-0.06975963014662012,0.04753740792439788,10,0.008718008154888235,0.02249392602731812,-0.04216678772726242,0.05960280403703889,10,-0.033333333333333395,0.23013683530231085,-0.5539390237361668,0.48727235706949995
300,0.5,0.25,4,10,7,3,0.7,10,3,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",8,2,0,8,2,0,7,0.031746031746031744,0.0467288934726341,-0.08259545148304788,0.14608751497511135,10,0.04444444444444444,0.0377705149155021,-0.04099839641423508,0.12988728530312396,10,0.0012308952371698823,0.01897468145677319,-0.04169281633208386,0.04415460680642363,10,0.033333333333333284,0.29585615457098546,-0.6359397858873543,0.702606452554021
300,0.5,2.0,2,10,9,1,0.9,10,1,"{""candidate_failed_constraints"": 1}",9,1,0,10,0,0,9,-0.012345679012345678,0.022256489354715983,-0.06366923549944822,0.038977877474756874,10,-0.03333333333333333,0.02892685065150612,-0.09877041573183182,0.03210374906516516,10,0.0048698165311015455,0.00585465000707467,-0.00837432191807898,0.018113954980282072,10,0.03333333333333335,0.2406267536411968,-0.511002200976979,0.5776688676436457
300,0.5,2.0,4,10,9,1,0.9,10,4,"{""candidate_failed_constraints"": 1}",9,1,0,10,0,0,9,0.02469135802469135,0.0308641975308642,-0.0464816091112397,0.0958643251606224,10,0.022222222222222216,0.027715980642769943,-0.04047568191279621,0.08492012635724064,10,4.307441809895396e-05,0.005011398370683879,-0.011293496301778836,0.011379645137976744,10,0.03333333333333344,0.20757268546966,-0.4362287039031168,0.5028953705697836
300,0.9,0.25,2,10,6,4,0.6,10,2,"{""both_failed_constraints"": 2, ""candidate_failed_constraints"": 2}",6,4,0,8,2,0,6,0.07407407407407406,0.04684855792842042,-0.04635397796247913,0.19450212611062723,10,0.06666666666666665,0.029629629629629624,-0.00036021223105792144,0.13369354556439123,10,0.005224380782076654,0.021341644294805312,-0.04305377272530863,0.05350253428946194,10,0.3,0.3199151121975104,-0.4236982625449895,1.0236982625449895
300,0.9,0.25,4,10,8,2,0.8,10,1,"{""both_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",9,1,0,8,2,0,8,0.013888888888888888,0.013888888888888886,-0.018953114605455325,0.0467308923832331,10,0.06666666666666665,0.0377705149155021,-0.01877617419201287,0.1521095075253462,10,-0.031423659519876204,0.02672357684681443,-0.09187659029948574,0.029029271259733327,10,0.09999999999999995,0.29418227321941615,-0.5654865365315608,0.7654865365315607
300,0.9,2.0,2,10,6,4,0.6,10,3,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",7,3,0,8,2,0,6,0.037037037037037035,0.03703703703703703,-0.05816969761615978,0.13224377169023385,10,0.04444444444444444,0.04743054990690998,-0.0628509137629297,0.15173980265181858,10,0.011198857434439047,0.012463193121808085,-0.016994844157396435,0.03939255902627453,10,0.3333333333333333,0.24845199749997657,-0.2287041324227604,0.8953707990894271
300,0.9,2.0,4,10,9,1,0.9,10,3,"{""both_failed_constraints"": 1}",9,1,0,9,1,0,9,0.024691358024691357,0.024691358024691346,-0.03224701568405345,0.08162973173343616,10,0.02222222222222222,0.022222222222222213,-0.028047936951071203,0.07249238139551564,10,0.0041854050721790385,0.0033624666144051007,-0.00342102286426729,0.011791833008625366,10,-4.4408920985006264e-17,0.2222222222222222,-0.5027015917329344,0.5027015917329344
1000,0.5,0.25,2,10,8,2,0.8,10,2,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 1}",8,2,0,9,1,0,8,-0.04166666666666667,0.0359888038635259,-0.1267666650681761,0.04343333173484276,10,-0.03333333333333334,0.02892685065150612,-0.09877041573183183,0.03210374906516515,10,0.017466497657507584,0.023180222764446038,-0.03497080930434203,0.06990380461935719,10,-0.1,0.13193713430042128,-0.39846253339676674,0.1984625333967667
1000,0.5,0.25,4,10,8,2,0.8,10,4,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 1}",8,2,0,9,1,0,8,0.027777777777777776,0.05035149817638698,-0.09128459591413672,0.14684015146969226,10,0.022222222222222227,0.04319223625811334,-0.0754854044063412,0.11992984885078566,10,0.014116895372244276,0.0251221075250007,-0.042713260110022744,0.07094705085451129,10,0.23333333333333325,0.2813108644704924,-0.40303605370154616,0.8697027203682127
