n,rho,snr,contexts,seeds,valid,invalid,valid_fraction,compute_matched,valid_clearing_effect,failure_reasons,gated_constraint_passes,gated_loss_failures,gated_size_failures,ungated_constraint_passes,ungated_loss_failures,ungated_size_failures,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,diagnostic_raw_recall_difference_n,diagnostic_raw_recall_difference_mean,diagnostic_raw_recall_difference_mcse,diagnostic_raw_recall_difference_low,diagnostic_raw_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high
300,0.5,0.25,2,10,7,3,0.7,10,2,"{""both_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",8,2,0,7,3,0,7,0.031746031746031744,0.020491975376758818,-0.0183960256567305,0.08188808914879399,10,0.055555555555555546,0.024845199749997656,-0.0006481910200538191,0.11175930213116492,10,-0.04036312335751786,0.025910161673476328,-0.09897598117643186,0.018249734461396133,10,0.5,0.22906142364542553,-0.01817294022025351,1.0181729402202535
300,0.5,0.25,4,10,6,4,0.6,10,1,"{""both_failed_constraints"": 2, ""candidate_failed_constraints"": 2}",6,4,0,8,2,0,6,0.0,0.05737753105492468,-0.14749363910344793,0.14749363910344793,10,0.022222222222222216,0.039890109682477796,-0.06801547512080096,0.11245991956524538,10,0.008978049003521615,0.02467454436802979,-0.04683964827739908,0.06479574628444232,10,0.2666666666666667,0.257240820062005,-0.31525249700068203,0.8485858303340155
300,0.5,2.0,2,10,4,6,0.4,10,2,"{""both_failed_constraints"": 4, ""comparator_failed_constraints"": 2}",6,4,0,4,6,0,4,0.027777777777777762,0.053190394875352126,-0.14149779786986807,0.1970533534254236,10,0.07777777777777777,0.043979044766807085,-0.02170973335447779,0.17726528891003332,10,-0.014178058137215899,0.009493703852199172,-0.035654308307953166,0.007298192033521368,10,0.5,0.2290614236454256,-0.01817294022025362,1.0181729402202535
300,0.5,2.0,4,10,3,7,0.3,10,0,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 2}",5,5,0,4,6,0,3,-0.037037037037037014,0.03703703703703702,-0.19639454554627628,0.12232047147220226,10,-0.02222222222222221,0.022222222222222213,-0.07249238139551563,0.028047936951071214,10,-0.01646989158932525,0.018923127713054343,-0.05927698048795634,0.026337197309305845,10,-0.13333333333333336,0.16629588385661964,-0.5095207581434438,0.2428540914767771
300,0.9,0.25,2,10,8,2,0.8,10,3,"{""both_failed_constraints"": 2}",8,2,0,8,2,0,8,0.027777777777777776,0.027777777777777773,-0.03790622921091065,0.0934617847664662,10,0.04444444444444444,0.024567591039669625,-0.011131307598641199,0.10002019648753008,10,-0.02477635819727455,0.017032337994255343,-0.06330618359017928,0.013753467195630184,10,-0.06666666666666665,0.19751543149590198,-0.5134776147882995,0.38014428145496615
300,0.9,0.25,4,10,8,2,0.8,10,2,"{""both_failed_constraints"": 2}",8,2,0,8,2,0,8,0.027777777777777776,0.018184824186332698,-0.015222498504175536,0.07077805405973109,10,0.03333333333333333,0.016972502573910517,-0.005061134934849311,0.07172780160151598,10,-0.007916590147755986,0.020025875127534787,-0.053218267008811215,0.03738508671329925,10,-0.09999999999999998,0.111665284679121,-0.3526044235727742,0.15260442357277426
300,0.9,2.0,2,10,3,7,0.3,10,0,"{""both_failed_constraints"": 2, ""candidate_failed_constraints"": 3, ""comparator_failed_constraints"": 2}",5,5,0,6,4,0,3,-0.1851851851851852,0.03703703703703702,-0.3445426936944245,-0.025827676675945932,10,-5.551115123125783e-18,0.05972042776517443,-0.13509699343436213,0.13509699343436213,10,0.017234753431720796,0.015458869139494036,-0.01773563812094576,0.05220514498438735,10,-0.13333333333333336,0.3520662115056635,-0.9297624354700977,0.6630957688034311
300,0.9,2.0,4,10,4,6,0.4,10,2,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 3}",4,6,0,7,3,0,4,0.027777777777777762,0.053190394875352126,-0.14149779786986807,0.1970533534254236,10,-0.03333333333333334,0.0498282372113841,-0.14605263705067395,0.07938597038400726,10,0.021346214478722324,0.01471306242168066,-0.011937045065179685,0.05462947402262433,10,-0.16666666666666669,0.4667989230577779,-1.2226391940483072,0.8893058607149738
1000,0.5,0.25,2,10,5,5,0.5,10,0,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1}",5,5,0,6,4,0,5,-0.04444444444444445,0.027216552697590872,-0.12000970896202844,0.03112082007313953,10,-0.05555555555555556,0.018518518518518517,-0.09744735486663342,-0.013663756244477694,10,0.00943950428033924,0.028724571126598902,-0.05553999004200297,0.07441899860268145,10,-0.06666666666666661,0.10886621079036345,-0.3129391451927865,0.1796058118594533
1000,0.5,0.25,4,10,5,5,0.5,10,1,"{""both_failed_constraints"": 3, ""comparator_failed_constraints"": 2}",7,3,0,5,5,0,5,0.02222222222222222,0.022222222222222216,-0.03947655789328428,0.08392100233772873,10,0.011111111111111105,0.019945054841238898,-0.03400773756040048,0.05622995978262269,10,0.0008957120030104627,0.010249189327039405,-0.022289565046026638,0.024080989052047565,10,0.0,0.09938079899999068,-0.2248149863024376,0.2248149863024376
1000,0.5,2.0,2,10,9,1,0.9,10,2,"{""candidate_failed_constraints"": 1}",9,1,0,10,0,0,9,-0.01234567901234566,0.028953183702613752,-0.07911184035789884,0.054420482333207516,10,-0.02222222222222221,0.02771598064276993,-0.0849201263572406,0.04047568191279617,10,0.001323010359588428,0.0034400702617847024,-0.006458969223636932,0.009104989942813788,10,0.0,0.1314684396244359,-0.29740227237832106,0.29740227237832106
1000,0.5,2.0,4,10,10,0,1.0,10,2,{},10,0,0,10,0,0,10,-1.1102230246251566e-17,0.02342427896421021,-0.05298940044227146,0.052989400442271434,10,-1.1102230246251566e-17,0.02342427896421021,-0.05298940044227146,0.052989400442271434,10,0.001861937069644215,0.004358498669243783,-0.007997671914032053,0.011721546053320483,10,0.1666666666666666,0.19404721329525532,-0.2722986268102263,0.6056319601435595
1000,0.9,0.25,2,10,7,3,0.7,10,2,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 2}",7,3,0,9,1,0,7,-7.93016446160826e-18,0.03428963332490931,-0.0839037101541364,0.08390371015413638,10,0.011111111111111105,0.025925925925925918,-0.047537407924397895,0.06975963014662011,10,0.03675847942932111,0.031279182866472896,-0.033999948138545434,0.10751690699718766,10,-0.033333333333333326,0.20757268546966,-0.5028953705697836,0.4362287039031169
1000,0.9,0.25,4,10,7,3,0.7,10,4,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",8,2,0,8,2,0,7,0.07936507936507935,0.03174603174603173,0.0016853380588895822,0.15704482067126913,10,0.055555555555555546,0.024845199749997656,-0.0006481910200538191,0.11175930213116492,10,0.023249155933293464,0.033652697571552675,-0.05287853492567618,0.09937684679226311,10,0.3333333333333333,0.1405456737852613,0.015396930679704546,0.6512697359869621
1000,0.9,2.0,2,10,10,0,1.0,10,3,{},10,0,0,10,0,0,10,0.02222222222222222,0.04319223625811334,-0.07548540440634122,0.11992984885078564,10,0.02222222222222222,0.04319223625811334,-0.07548540440634122,0.11992984885078564,10,0.013276838057909779,0.006951175249557127,-0.0024478128227414745,0.029001488938561033,10,-0.29999999999999993,0.31603250340728645,-1.014915191259841,0.4149151912598412
1000,0.9,2.0,4,10,10,0,1.0,10,5,{},10,0,0,10,0,0,10,0.07777777777777777,0.03722176155970699,-0.006423696746480287,0.1619792523020358,10,0.07777777777777777,0.03722176155970699,-0.006423696746480287,0.1619792523020358,10,-0.006713678444780857,0.004440535510321666,-0.016758867656114795,0.0033315107665530808,10,0.43333333333333324,0.1795054935711501,0.02726369528972894,0.8394029713769375
3000,0.5,0.25,2,10,4,6,0.4,10,0,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",5,5,0,5,5,0,4,0.0,0.0,0.0,0.0,10,-0.01111111111111111,0.011111111111111112,-0.036246190697757835,0.014023968475535612,10,-0.00033377056661443305,0.010720628168784541,-0.024585516368326586,0.02391797523509772,10,-0.033333333333333305,0.12619796324000607,-0.3188129598072576,0.25214629314059095
3000,0.5,0.25,4,10,4,6,0.4,10,0,"{""both_failed_constraints"": 5, ""candidate_failed_constraints"": 1}",4,6,0,5,5,0,4,-0.055555555555555566,0.03207501495497921,-0.15763256839094883,0.0465214572798377,10,-0.022222222222222227,0.014814814814814817,-0.05573566167108453,0.011291217226640074,10,0.005946346658609514,0.0058590320399446415,-0.007307704637615434,0.019200397954834462,10,-0.09999999999999995,0.12222222222222222,-0.37648587545311385,0.17648587545311398
3000,0.5,2.0,2,10,10,0,1.0,10,1,{},10,0,0,10,0,0,10,-0.02222222222222222,0.022222222222222213,-0.07249238139551564,0.028047936951071203,10,-0.02222222222222222,0.022222222222222213,-0.07249238139551564,0.028047936951071203,10,-0.0005281960534665786,0.0014472714276850896,-0.003802151480117588,0.002745759373184431,10,-0.06666666666666657,0.17069212773041348,-0.4527990860452875,0.31946575271195443
3000,0.5,2.0,4,10,10,0,1.0,10,2,{},10,0,0,10,0,0,10,-1.1102230246251566e-17,0.028688765527462343,-0.06489849642978718,0.06489849642978715,10,-1.1102230246251566e-17,0.028688765527462343,-0.06489849642978718,0.06489849642978715,10,0.00030445482267219546,0.0012973708600907664,-0.0026304019612877995,0.0032393116066321906,10,0.09999999999999995,0.1319371343004213,-0.19846253339676687,0.39846253339676674
3000,0.9,0.25,2,10,2,8,0.2,10,1,"{""both_failed_constraints"": 8}",2,8,0,2,8,0,2,0.1111111111111111,0.11111111111111109,-1.3006894151305213,1.5229116373527436,10,0.04444444444444444,0.02456759103966962,-0.011131307598641192,0.10002019648753008,10,-0.0059843161448306145,0.006689171700239323,-0.021116273819714045,0.009147641530052817,10,0.13333333333333336,0.10183501544346311,-0.09703347627576253,0.36370014294242925
3000,0.9,0.25,4,10,2,8,0.2,10,0,"{""both_failed_constraints"": 7, ""comparator_failed_constraints"": 1}",3,7,0,2,8,0,2,0.0,0.0,0.0,0.0,10,0.033333333333333326,0.016972502573910513,-0.005061134934849311,0.07172780160151596,10,-0.0063746849175810635,0.004849180042821681,-0.017344292285148236,0.004594922449986109,10,0.03333333333333337,0.07777777777777775,-0.1426122237731936,0.20927889043986037
3000,0.9,2.0,2,10,10,0,1.0,10,2,{},10,0,0,10,0,0,10,0.0,0.043822813208145295,-0.09913409079277366,0.09913409079277366,10,0.0,0.043822813208145295,-0.09913409079277366,0.09913409079277366,10,0.0007346093721553593,0.002182682697533611,-0.004202961926186007,0.005672180670496726,10,-0.19999999999999996,0.1586984095231744,-0.5590007438275317,0.15900074382753188
